Hagfors  Hagfors;kommun; Värmlands;län;;;
Hajom  Marks;kommun; Västra;Götalands;län;;
Hakenäset  Tjörns;kommun; Västra;Götalands;län;;
Hakkas  Gällivare;kommun; Norrbottens;län;;;
Hallabro  Ronneby;kommun; Blekinge;län;;;
Hallaryd  Älmhults;kommun; Kronobergs;län;;;
Hallaröd  Höörs;kommun; Skåne;län;;;
Hallen  Åre;kommun; Jämtlands;län;;;
Hallsberg  Hallsbergs;kommun; Örebro;län;;;
Hallstahammar  Hallstahammars;kommun; Västmanlands;län;;;
Hallstavik  Norrtälje;kommun; Stockholms;län;;;
Halltorp  Kalmar;kommun; Kalmar;län;;;
Halmstad  Halmstads;kommun; Hallands;län;;;
Hamburgsund  Tanums;kommun; Västra;Götalands;län;;
Hammar  Askersunds;kommun; Örebro;län;;;
Hammarstrand  Ragunda;kommun; Jämtlands;län;;;
Hammarö  Hammarö;kommun; Värmlands;län;;;
Hammenhög  Simrishamns;kommun; Skåne;län;;;
Hammerdal  Strömsunds;kommun; Jämtlands;län;;;
Hamneda  Ljungby;kommun; Kronobergs;län;;;
Hamra  Ljusdals;kommun; Gävleborgs;län;;;
Hamrångefjärden  Gävle;kommun; Gävleborgs;län;;;
Hanaskog  Östra;Göinge;kommun; Skåne;län;;
Handen  Haninge;kommun; Stockholms;län;;;
Haninge  Haninge;kommun; Stockholms;län;;;
Haparanda  Haparanda;kommun; Norrbottens;län;;;
Harads  Bodens;kommun; Norrbottens;län;;;
Harbo  Heby;kommun; Uppsala;län;;;
Harestad  Kungälvs;kommun; Västra;Götalands;län;;
Hargshamn  Östhammars;kommun; Uppsala;län;;;
Harlösa  Eslövs;kommun; Skåne;län;;;
Harmånger  Nordanstigs;kommun; Gävleborgs;län;;;
Harplinge  Halmstads;kommun; Hallands;län;;;
Harö  Värmdö;kommun; Stockholms;län;;;
Hassela  Nordanstigs;kommun; Gävleborgs;län;;;
Hasselfors  Laxå;kommun; Örebro;län;;;
Hasslarp  Helsingborgs;kommun; Skåne;län;;;
Hasslö  Karlskrona;kommun; Blekinge;län;;;
Havdhem  Gotlands;kommun; Gotlands;län;;;
Haverdal  Halmstads;kommun; Hallands;län;;;
Havstenssund  Tanums;kommun; Västra;Götalands;län;;
Heberg  Falkenbergs;kommun; Hallands;län;;;
Heby  Heby;kommun; Uppsala;län;;;
Hedared  Borås;kommun; Västra;Götalands;län;;
Hede  Härjedalens;kommun; Jämtlands;län;;;
Hedekas  Munkedals;kommun; Västra;Götalands;län;;
Hedemora  Hedemora;kommun; Dalarnas;län;;;
Hedenäset  Övertorneå;kommun; Norrbottens;län;;;
Hedesunda  Gävle;kommun; Gävleborgs;län;;;
Helgum  Sollefteå;kommun; Västernorrlands;län;;;
Helsingborg  Helsingborgs;kommun; Skåne;län;;;
Hemavan  Storumans;kommun; Västerbottens;län;;;
Hemmingsmark  Piteå;kommun; Norrbottens;län;;;
Hemse  Gotlands;kommun; Gotlands;län;;;
Henån  Orusts;kommun; Västra;Götalands;län;;
Herrljunga  Herrljunga;kommun; Västra;Götalands;län;;
Herräng  Norrtälje;kommun; Stockholms;län;;;
Hestra  Gislaveds;kommun; Jönköpings;län;;;
Hillared  Svenljunga;kommun; Västra;Götalands;län;;
Hillerstorp  Gnosjö;kommun; Jönköpings;län;;;
Hindås  Härryda;kommun; Västra;Götalands;län;;
